STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/1/2017,0,",,7,2400",0,",,7",0,",,7",41,",,7",22,",,7",33,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/2/2017,0.24,",,7,2400",0,",,7",0,",,7",41,",,7",31,",,7",39,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/3/2017,0.02,",,7,2400",0,",,7",0,",,7",42,",,7",21,",,7",21,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/4/2017,0,",,7,2400",0,",,7",0,",,7",21,",,7",10,",,7",10,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/5/2017,0,"T,,7,2400",0,"T,,7",0,",,7",15,",,7",5,",,7",5,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/6/2017,0,",,7,2400",0,",,7",0,",,7",10,",,7",1,",,7",3,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/7/2017,0,",,7,2400",0,",,7",0,",,7",19,",,7",2,",,7",8,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/8/2017,0,",,7,2400",0,",,7",0,",,7",20,",,7",4,",,7",20,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/9/2017,0.02,",,7,2400",0.2,",,7",0,"T,,7",35,",,7",19,",,7",35,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/10/2017,0.2,",,7,2400",0,",,7",0,",,7",52,",,7",27,",,7",27,",,7,2400",,,,,,,,,,,,,1,",,7"
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/11/2017,0.54,",,7,2400",0,",,7",0,",,7",45,",,7",27,",,7",31,",,7,2400",,,1,",,7",1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/12/2017,0.11,",,7,2400",0.2,",,7",0,"T,,7",31,",,7",22,",,7",22,",,7,2400",,,1,",,7",,,1,",,7",,,1,",,7",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/13/2017,0,",,7,2400",0,",,7",0,"T,,7",29,",,7",18,",,7",28,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/14/2017,0,",,7,2400",0,",,7",0,"T,,7",35,",,7",25,",,7",26,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/15/2017,0,",,7,2400",0,",,7",0,",,7",35,",,7",22,",,7",34,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/16/2017,0.57,",,7,2400",0,",,7",0,",,7",39,",,7",33,",,7",37,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/17/2017,0.5,",,7,2400",0,",,7",0,",,7",40,",,7",33,",,7",33,",,7,2400",,,1,",,7",1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/18/2017,0,"T,,7,2400",0,",,7",0,",,7",36,",,7",32,",,7",34,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/19/2017,0.78,",,7,2400",0,",,7",0,",,7",42,",,7",32,",,7",38,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/20/2017,0.21,",,7,2400",0,",,7",0,",,7",47,",,7",37,",,7",47,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/21/2017,0,"T,,7,2400",0,",,7",0,",,7",60,",,7",40,",,7",40,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/22/2017,0,"T,,7,2400",0,",,7",0,",,7",46,",,7",40,",,7",40,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/23/2017,0,",,7,2400",0,",,7",0,",,7",43,",,7",39,",,7",39,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/24/2017,0,"T,,7,2400",0,",,7",0,",,7",39,",,7",36,",,7",37,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/25/2017,0.09,",,7,2400",0,"T,,7",0,",,7",44,",,7",35,",,7",35,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/26/2017,0.02,",,7,2400",0.1,",,7",0,",,7",35,",,7",32,",,7",32,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/27/2017,0,"T,,7,2400",0,"T,,7",0,",,7",32,",,7",25,",,7",27,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/28/2017,0,"T,,7,2400",0,"T,,7",0,",,7",30,",,7",26,",,7",28,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/29/2017,0,"T,,7,2400",0.1,",,7",0,"T,,7",29,",,7",23,",,7",23,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/30/2017,0,"T,,7,2400",0,"T,,7",0,",,7",39,",,7",17,",,7",39,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/31/2017,0.02,",,7,2400",0,",,7",0,",,7",43,",,7",36,",,7",36,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/1/2017,0,"T,,7,2400",0,"T,,7",0,",,7",39,",,7",23,",,7",23,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/2/2017,0,",,7,2400",0,",,7",0,",,7",25,",,7",15,",,7",18,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/3/2017,0,",,7,2400",0,",,7",0,",,7",29,",,7",15,",,7",19,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/4/2017,0,",,7,2400",0,",,7",0,",,7",34,",,7",16,",,7",33,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/5/2017,0,",,7,2400",0,",,7",0,",,7",41,",,7",29,",,7",30,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/6/2017,0,"T,,7,2400",0,",,7",0,",,7",55,",,7",27,",,7",44,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/7/2017,0.55,",,7,2400",0,",,7",0,",,7",53,",,7",34,",,7",34,",,7,2400",,,1,",,7",1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/8/2017,0,"T,,7,2400",0.1,",,7",0,"T,,7",34,",,7",20,",,7",20,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/9/2017,0,"T,,7,2400",0,"T,,7",0,",,7",25,",,7",14,",,7",18,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/10/2017,0,",,7,2400",0,",,7",0,",,7",44,",,7",18,",,7",42,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/11/2017,0,",,7,2400",0,",,7",0,",,7",52,",,7",38,",,7",39,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/12/2017,0,",,7,2400",0,",,7",0,",,7",49,",,7",32,",,7",32,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/13/2017,0,",,7,2400",0,",,7",0,",,7",45,",,7",27,",,7",39,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/14/2017,0,",,7,2400",0,",,7",0,",,7",51,",,7",34,",,7",35,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/15/2017,0,",,7,2400",0,",,7",0,",,7",36,",,7",28,",,7",34,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/16/2017,0,",,7,2400",0,",,7",0,",,7",42,",,7",31,",,7",36,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/17/2017,0,",,7,2400",0,",,7",0,",,7",67,",,7",32,",,7",53,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/18/2017,0,",,7,2400",0,",,7",0,",,7",70,",,7",45,",,7",45,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/19/2017,0,",,7,2400",0,",,7",0,",,7",67,",,7",38,",,7",49,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/20/2017,0,",,7,2400",0,",,7",0,",,7",70,",,7",46,",,7",60,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/21/2017,0.16,",,7,2400",0,",,7",0,",,7",65,",,7",53,",,7",53,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/22/2017,0,",,7,2400",0,",,7",0,",,7",67,",,7",52,",,7",59,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/23/2017,0.16,",,7,2400",0,",,7",0,",,7",59,",,7",38,",,7",41,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/24/2017,0.11,",,7,2400",0,"T,,7",0,",,7",44,",,7",33,",,7",33,",,7,2400",,,1,",,7",1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/25/2017,0,"T,,7,2400",0,"T,,7",0,",,7",34,",,7",23,",,7",26,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/26/2017,0,",,7,2400",0,",,7",0,",,7",49,",,7",24,",,7",38,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/27/2017,0,",,7,2400",0,",,7",0,",,7",54,",,7",33,",,7",48,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/28/2017,1.73,",,7,2400",0,",,7",0,",,7",59,",,7",47,",,7",54,",,7,2400",,,1,",,7",1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/1/2017,0.09,",,7,2400",0,"T,,7",0,",,7",54,",,7",32,",,7",34,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/2/2017,0,"T,,7,2400",0,"T,,7",0,",,7",36,",,7",27,",,7",27,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/3/2017,0,",,7,2400",0,",,7",0,",,7",33,",,7",21,",,7",31,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/4/2017,0.01,",,7,2400",0.2,",,7",0,",,7",42,",,7",29,",,7",33,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/5/2017,0,"T,,7,2400",0,",,7",0,",,7",61,",,7",33,",,7",52,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/6/2017,0,"T,,7,2400",0,",,7",0,",,7",64,",,7",52,",,7",64,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/7/2017,0.25,",,7,2400",0,",,7",0,",,7",64,",,7",44,",,7",44,",,7,2400",,,1,",,7",1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/8/2017,0,",,7,2400",0,",,7",0,",,7",52,",,7",40,",,7",40,",,7,2400",,,,,,,,,,,,,1,",,7"
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/9/2017,0,",,7,2400",0,",,7",0,",,7",41,",,7",34,",,7",37,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/10/2017,0,",,7,2400",0,",,7",0,",,7",37,",,7",23,",,7",23,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/11/2017,0,",,7,2400",0,",,7",0,",,7",30,",,7",18,",,7",25,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/12/2017,0.01,",,7,2400",0.1,",,7",0,"T,,7",36,",,7",20,",,7",29,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/13/2017,0.18,",,7,2400",2.9,",,7",2,",,7",31,",,7",26,",,7",29,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/14/2017,0.27,",,7,2400",6.3,",,7",5,",,7",29,",,7",20,",,7",20,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/15/2017,0,",,7,2400",0,",,7",3,",,7",33,",,7",17,",,7",26,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/16/2017,0,",,7,2400",0,",,7",0,"T,,7",42,",,7",19,",,7",37,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/17/2017,0.03,",,7,2400",0,"T,,7",0,",,7",50,",,7",35,",,7",44,",,7,2400",,,1,",,7",,,1,",,7",,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/18/2017,0,",,7,2400",0,",,7",0,",,7",45,",,7",36,",,7",36,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/19/2017,0,",,7,2400",0,",,7",0,",,7",53,",,7",31,",,7",49,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/20/2017,0.62,",,7,2400",0,",,7",0,",,7",54,",,7",41,",,7",42,",,7,2400",,,1,",,7",1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/21/2017,0,",,7,2400",0,",,7",0,",,7",55,",,7",33,",,7",33,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/22/2017,0,",,7,2400",0,",,7",0,",,7",35,",,7",29,",,7",32,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/23/2017,0,"T,,7,2400",0,",,7",0,",,7",51,",,7",32,",,7",48,",,7,2400",,,,,1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/24/2017,0.45,",,7,2400",0,",,7",0,",,7",82,",,7",41,",,7",41,",,7,2400",,,1,",,7",1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/25/2017,0.55,",,7,2400",0,",,7",0,",,7",49,",,7",40,",,7",49,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/26/2017,0.2,",,7,2400",0,",,7",0,",,7",62,",,7",48,",,7",51,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/27/2017,0,"T,,7,2400",0,",,7",0,",,7",52,",,7",42,",,7",42,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/28/2017,0,",,7,2400",0,",,7",0,",,7",47,",,7",37,",,7",37,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/29/2017,0.28,",,7,2400",0,",,7",0,",,7",49,",,7",36,",,7",45,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/30/2017,2.19,",,7,2400",0,",,7",0,",,7",46,",,7",39,",,7",39,",,7,2400",,,1,",,7",1,",,7",,,,,,,,
